,company,rating,reviews,highlyRatedFor,jobs,salary
1418,Sharda Motor Industries,3.7,(773),"Promotions, Company Culture, Work Satisfaction",17,2.9k
1419,TO THE NEW,3.6,(773),"Promotions, Work Satisfaction, Salary",91,6.1k
1420,Steel Authority Of India,4.1,(771),"Job Security, Work Life Balance, Company Culture",--,2.2k
1421,Wipro Infrastructure Engineering,3.7,(771),"Promotions, Salary, Company Culture",16,4k
1422,CMS Computers Limited (INDIA),3.7,(770),"Promotions, Salary, Skill Development",11,3.3k
1423,Zee Entertainment Enterprises,3.4,(770),"Promotions, Job Security, Work Satisfaction",39,4.4k
1424,Sterling Tools,4.5,(785),"Company Culture, Work Life Balance, Work Satisfaction",11,1.2k
1425,UnitedLex,2.6,(769),"Promotions, Job Security, Skill Development",45,3.8k
1426,Veradigm,3.7,(769),Work Life Balance,67,3.5k
1427,HSBC Software Development,4.0,(769),"Work Life Balance, Company Culture, Job Security",--,7.9k
1428,India Japan Lighting,4.1,(770),"Company Culture, Work Life Balance, Job Security",6,2.7k
1429,Finolex Cables,3.7,(768),"Work Life Balance, Job Security",12,2.6k
1430,McDermott International,4.1,(768),"Work Life Balance, Salary, Company Culture",62,3.6k
1431,Greenply,3.8,(767),Salary,2,2.5k
1432,Google Operations Center,3.5,(765),"Promotions, Work Satisfaction, Job Security",--,4.3k
1433,Bitwise Solutions,3.6,(772),"Promotions, Job Security, Salary",5,4.5k
1434,Stellantis,3.4,(763),"Promotions, Work Satisfaction, Job Security",--,5.4k
1435,Livguard,3.9,(763),Promotions,--,2.4k
1436,JSW Energy,4.1,(762),"Job Security, Salary, Work Life Balance",12,3.9k
1437,Samsung E&A,4.0,(762),"Salary, Work Life Balance, Job Security",--,2.4k
1438,Integreon,3.2,(761),"Promotions, Salary, Work Satisfaction",37,4k
1439,Religare,3.6,(761),"Promotions, Skill Development, Salary",23,2.5k
1440,Smollan Group,3.9,(760),"Company Culture, Work Life Balance",7,1.9k
1441,Hapag-Lloyd,3.8,(761),"Job Security, Company Culture, Work Life Balance",6,3.2k
1442,Better.com,3.0,(760),Salary,8,3.8k
1443,Eugia Pharma Specialities,4.0,(760),"Job Security, Salary, Work Life Balance",--,2.9k
1444,Rackspace,3.6,(760),"Work Life Balance, Salary",6,4.6k
1445,LifeCell International,3.3,(759),"Job Security, Promotions, Company Culture",62,2.9k
1446,Brane Enterprises,2.1,(759),"Job Security, Company Culture, Work Satisfaction",--,3.7k
1447,India Cements,3.8,(760),"Job Security, Work Life Balance",8,2.8k
1448,BCD Travel,4.3,(759),"Job Security, Company Culture, Work Life Balance",1,1.8k
1449,Trianz,3.7,(759),"Work Life Balance, Salary",43,4.8k
1450,R.V.R. PROJECTS,3.8,(758),Salary,16,1.9k
1451,RITES,3.9,(757),"Work Life Balance, Skill Development",4,2.6k
1452,LG Soft India,2.6,(757),"Promotions, Company Culture, Work Satisfaction",59,4.7k
1453,Primus Global Technologies,3.7,(757),"Promotions, Job Security, Skill Development",--,3.2k
1454,Electrosteel Casting,3.6,(755),Job Security,--,2.9k
1455,Care Hospital,4.1,(756),"Skill Development, Company Culture, Work Life Balance",81,2.2k
1456,Boeing,3.8,(755),Work Life Balance,28,7.1k
1457,Dunzo,3.5,(755),"Job Security, Promotions, Skill Development",--,3.1k
1458,EMERSON PROCESS MANAGEMENT,4.0,(754),"Company Culture, Work Life Balance, Job Security",--,4.6k
1459,CADD Centre Training Services,3.9,(752),Skill Development,4,2k
1460,Isuzu Motors,4.1,(751),"Company Culture, Job Security, Work Life Balance",2,3k
1461,1 India Family Mart,4.6,(751),"Company Culture, Work Life Balance, Work Satisfaction",--,1.5k
1462,Deepak Nitrite,3.8,(752),"Work Life Balance, Job Security",35,3.2k
1463,KreditBee,3.7,(751),"Promotions, Work Satisfaction, Skill Development",31,3.5k
1464,B. G. Shirke Construction Technology,4.1,(749),"Job Security, Company Culture, Work Life Balance",12,2.7k
1465,ASG Eye Hospital,3.5,(748),"Promotions, Company Culture, Work Satisfaction",111,1.8k
1466,Mswipe Technologies,3.2,(748),"Promotions, Job Security, Company Culture",36,2.4k
1467,ReSource Pro,3.7,(748),"Work Satisfaction, Promotions, Skill Development",37,4k
1468,Sun Life Financial,3.8,(747),"Work Life Balance, Job Security, Company Culture",198,4.2k
1469,Redcliffe Labs,3.9,(748),"Salary, Company Culture, Work Life Balance",18,1.9k
1470,Galfar,3.8,(746),"Work Life Balance, Job Security",--,1.9k
1471,BDO INDIA SERVICES PRIVATE LIMITED,3.1,(746),"Promotions, Company Culture, Work Satisfaction",197,3.9k
1472,V-Trans,3.8,(748),Job Security,--,2k
1473,Genus Power Infrastructures,3.9,(746),"Job Security, Work Life Balance, Skill Development",2,3k
1474,Sterlite Power,4.1,(746),"Salary, Company Culture, Work Life Balance",16,3.3k
1475,bp,3.7,(746),"Work Life Balance, Salary",26,4.8k
1476,AI Airport Services,3.2,(744),"Promotions, Company Culture, Salary",--,1.7k
1477,The Akshaya Patra Foundation,4.4,(744),"Work Life Balance, Job Security, Company Culture",9,2k
1478,Delta Electronics,3.8,(744),"Job Security, Work Life Balance",5,3.7k
1479,SLK Global Services,4.0,(743),"Company Culture, Job Security, Skill Development",1,2.5k
1480,Mitsubishi Electric India,4.2,(744),"Work Life Balance, Company Culture, Job Security",7,3k
1481,Ag Industries,4.0,(743),"Work Life Balance, Company Culture, Work Satisfaction",10,2.8k
1482,Koch Business Solutions,3.1,(743),"Job Security, Promotions, Work Satisfaction",--,5.2k
1483,McKinsey & Company,3.8,(742),Company Culture,7,8.8k
1484,Turtlemint,3.7,(741),"Promotions, Job Security",5,2.6k
1485,OLX India,3.8,(740),"Salary, Work Life Balance",11,3.3k
1486,Home First Finance Company India,3.5,(740),Salary,296,2.7k
1487,Evision Technoserve,4.8,(740),"Company Culture, Work Life Balance, Work Satisfaction",--,213
1488,Tredence,3.3,(739),"Promotions, Work Life Balance, Work Satisfaction",182,7.1k
1489,GirnarSoft,3.6,(738),"Promotions, Job Security, Skill Development",4,3.3k
1490,Shalby Hospitals,4.2,(737),"Skill Development, Company Culture, Work Life Balance",54,2.1k
1491,BDO RISE Private Limited,3.6,(737),"Promotions, Salary",28,3.3k
1492,Nvidia,3.5,(736),"Promotions, Skill Development, Work Satisfaction",285,5.6k
1493,Indusind Marketing & Financial Services,3.7,(735),"Promotions, Salary",--,1.6k
1494,Razorpay,3.4,(735),"Promotions, Work Satisfaction, Job Security",6,7k
1495,Tavant Technologies,3.8,(733),"Company Culture, Work Life Balance",77,6.4k
1496,Kissht Finance,3.9,(732),"Work Life Balance, Salary, Company Culture",29,2.1k
1497,Adidas,3.9,(732),"Salary, Work Life Balance",36,4.1k
1498,TDK India Private Limited,3.9,(732),"Work Life Balance, Job Security, Skill Development",29,2.3k
1499,Expleo Solutions,3.5,(731),"Promotions, Job Security, Salary",3,4.9k
1500,Molex,3.9,(731),"Company Culture, Work Life Balance",--,4k
1501,Bikanervala,3.9,(731),Work Life Balance,--,2.1k
1502,URC Construction,3.6,(730),"Promotions, Company Culture, Work Life Balance",--,2.6k
1503,Bristlecone,3.6,(730),Work Life Balance,103,6.2k
1504,Bahwan CyberTek,3.3,(729),"Promotions, Job Security, Work Satisfaction",417,5k
1505,Rentokil Pest Control,3.5,(727),"Promotions, Work Satisfaction, Salary",345,2.1k
1506,Vertex Customer Solutions,3.6,(726),"Salary, Promotions, Work Satisfaction",--,1.1k
1507,DuPont,4.2,(726),"Company Culture, Work Life Balance, Job Security",18,3k
1508,Lavender Technology,4.9,(724),"Company Culture, Promotions, Skill Development",--,19
1509,Cotiviti,3.5,(724),"Promotions, Work Satisfaction, Skill Development",30,4.8k
1510,Thriveni Earthmovers,3.9,(724),"Job Security, Skill Development, Salary",--,2.6k
1511,Biba Apparels,3.5,(723),"Promotions, Company Culture, Work Satisfaction",--,2.2k
1512,Medreich,3.9,(723),Job Security,5,3k
1513,Visteon,3.1,(723),"Work Life Balance, Promotions, Company Culture",303,4.7k
1514,NecLife,3.5,(722),Job Security,2,2.3k
1515,Infor Global Solution,3.9,(722),"Work Life Balance, Company Culture, Job Security",5,6.9k
1516,Jubilant Ingrevia,3.8,(721),"Promotions, Skill Development",--,3k
1517,Central Bank of India,3.9,(720),"Skill Development, Work Life Balance",--,1.6k
1518,Goodyear,3.5,(721),"Promotions, Company Culture, Work Satisfaction",13,2.7k
1519,BSH Home Appliances Group,3.8,(720),Work Life Balance,7,2.6k
1520,PrimEra Medical Technologies,3.5,(720),"Promotions, Company Culture, Work Satisfaction",20,4k
1521,Gartner,3.8,(719),"Work Life Balance, Company Culture",48,6.8k
1522,Wow Momo Foods,4.1,(719),"Job Security, Skill Development, Company Culture",11,2k
1523,Amrit Cement,3.9,(718),"Work Life Balance, Skill Development",23,1.5k
1524,Ramky Infrastructure,4.2,(717),"Job Security, Salary, Work Life Balance",--,2k
1525,Apple,4.3,(717),"Company Culture, Skill Development, Salary",173,5.7k
1526,ffreedom app,3.4,(716),"Job Security, Work Satisfaction, Company Culture",--,1.5k
1527,Diebold Nixdorf,3.6,(716),"Promotions, Skill Development, Work Satisfaction",16,3.6k
1528,Vindhya Telelinks,4.0,(716),"Salary, Work Life Balance",--,2.1k
1529,Raychem RPG,3.7,(715),"Promotions, Work Satisfaction, Job Security",2,2.5k
1530,Lovely Professional University,3.3,(714),"Promotions, Work Life Balance, Work Satisfaction",6,2.1k
1531,Ness Digital Engineering,3.2,(714),"Job Security, Promotions, Work Satisfaction",26,5.7k
1532,Wolters Kluwer,3.8,(714),"Work Life Balance, Job Security",11,5.3k
1533,Dodla Dairy,4.2,(715),"Job Security, Company Culture, Work Life Balance",18,2k
1534,CtrlS,3.7,(713),Salary,4,3.3k
1535,uFaber,2.3,(713),"Promotions, Job Security, Salary",--,1.4k
1536,Technotask Business Solutions,3.4,(713),"Promotions, Salary, Job Security",4,2.1k
1537,Patel Engineering,4.1,(712),"Job Security, Company Culture, Work Life Balance",--,2.4k
1538,Progressive Infovision,3.9,(712),Work Life Balance,--,1.1k
1539,Vizag Steel,3.9,(711),"Work Life Balance, Job Security",--,1.7k
1540,Asb International,3.7,(711),"Job Security, Skill Development",--,2.8k
1541,Lohia Corp,4.0,(715),"Job Security, Skill Development, Work Life Balance",2,2.5k
1542,TTK Prestige,3.8,(711),Job Security,17,2.6k
1543,Joyalukkas,4.6,(710),"Job Security, Salary, Company Culture",4,1k
1544,Moglix,3.3,(711),"Job Security, Promotions, Work Satisfaction",39,3.7k
1545,Mynd Solutions Private,3.7,(709),"Promotions, Salary",--,3.2k
1546,TransUnion,3.6,(709),"Promotions, Job Security, Skill Development",52,6.5k
1547,Radico Khaitan,4.0,(709),"Job Security, Company Culture, Work Life Balance",--,2.1k
1548,IHG,3.6,(709),"Promotions, Salary, Work Satisfaction",102,2.7k
1549,XcelServ Solutions,4.4,(708),"Company Culture, Work Life Balance, Work Satisfaction",--,415
1550,Bharat Serums and Vaccines,3.9,(707),"Promotions, Salary",15,2.3k
1551,Nomura Holdings,3.6,(709),Job Security,317,7.2k
1552,Wuerth,3.5,(707),"Promotions, Work Satisfaction, Skill Development",11,2.4k
1553,HRH Next Services,3.0,(707),"Salary, Promotions, Company Culture",8,2k
1554,Magic Bus India Foundation,3.9,(708),"Skill Development, Salary",29,1.8k
1555,Bisk Farm,4.0,(707),"Company Culture, Work Life Balance, Job Security",20,1.4k
1556,Nephroplus,4.0,(739),Skill Development,11,3.1k
1557,Capco Technologies,3.8,(705),"Work Life Balance, Company Culture",205,5.3k
1558,PPG Asian Paints,3.8,(705),"Job Security, Salary",4,2.9k
1559,Elite Elevators,4.2,(704),"Salary, Skill Development, Company Culture",1,1k
1560,SG Analytics,2.5,(703),"Promotions, Work Satisfaction, Job Security",17,3.8k
1561,Kaar Tech,4.3,(704),"Job Security, Skill Development, Company Culture",13,2.2k
1562,Transsion,3.9,(703),"Work Life Balance, Company Culture, Job Security",5,2.6k
1563,Revolut,2.5,(703),"Job Security, Company Culture, Work Satisfaction",--,3.5k
1564,Emami Agrotech,3.8,(701),"Work Life Balance, Job Security",12,2.6k
1565,TCNS Clothing Company,4.1,(701),"Skill Development, Work Life Balance, Company Culture",2,1.5k
1566,Keventer,3.8,(700),"Promotions, Salary",2,2.2k
1567,LEAP India Limited,4.6,(701),"Company Culture, Work Life Balance, Work Satisfaction",4,1.3k
1568,Flash Electronics,3.5,(700),"Promotions, Salary, Work Satisfaction",--,2.5k
1569,Blue Yonder,3.5,(700),"Promotions, Salary, Work Satisfaction",154,7.7k
1570,BrightCHAMPS,4.3,(699),"Work Life Balance, Skill Development, Company Culture",28,1.2k
1571,Csc E Governance Services,3.8,(699),"Promotions, Salary",15,1.7k
1572,North East Small Finance Bank,3.5,(700),"Promotions, Job Security, Company Culture",--,1.8k
1573,VRL Logistics,3.8,(699),"Promotions, Job Security, Skill Development",1,1.7k
1574,Bridgestone - Global Capability Center,4.0,(699),"Company Culture, Work Life Balance, Job Security",19,2.9k
1575,Autoliv,3.9,(698),"Job Security, Company Culture, Salary",5,2.9k
1576,Samunnati,4.5,(698),"Work Life Balance, Company Culture, Work Satisfaction",--,949
1577,Quislex Legal Services,4.1,(697),"Company Culture, Work Life Balance, Work Satisfaction",3,1.8k
1578,Titan Eye Plus,4.1,(697),"Skill Development, Company Culture, Work Life Balance",--,1.5k
1579,BASF,4.2,(697),"Work Life Balance, Company Culture, Work Satisfaction",11,2.5k
1580,Micro Turners,3.8,(698),Skill Development,4,2.2k
1581,YOKOGAWA,3.7,(697),Job Security,92,3.8k
1582,Orient Technologies,3.7,(697),"Promotions, Salary",6,3k
1583,Tejas Networks,3.8,(696),Promotions,--,4.2k
1584,Rane NSK Steering Systems,4.0,(697),"Skill Development, Company Culture, Work Life Balance",--,2.1k
1585,HSBC Bank,3.9,(696),"Job Security, Company Culture, Work Life Balance",1,3k
1586,Leverage Edu,4.0,(696),"Salary, Company Culture, Skill Development",19,1.8k
1587,Mahindra Integrated Business Solutions,3.4,(696),"Promotions, Job Security, Work Satisfaction",3,2.7k
1588,Sykes Business Services Of India,3.4,(696),"Promotions, Salary, Company Culture",29,2.5k
1589,Caparo Engineering India,3.9,(695),"Skill Development, Work Life Balance, Work Satisfaction",--,2.5k
1590,Medtronic,3.9,(695),Salary,122,4.7k
1591,Triveni Engineering & Industries,4.1,(696),"Job Security, Work Life Balance, Salary",2,2.5k
1592,ChannelPlay,3.8,(696),Work Life Balance,8,2k
1593,Magic EdTech,3.5,(695),"Promotions, Salary, Job Security",14,3.7k
1594,NSB Bpo Solutions,2.8,(696),"Promotions, Salary, Job Security",--,1.7k
1595,TVS Electronics,3.6,(694),"Promotions, Salary",12,2.4k
1596,Teamlease Digital,3.3,(693),"Promotions, Job Security, Skill Development",4,3.4k
1597,Surya Roshni,4.1,(693),"Work Life Balance, Job Security, Company Culture",11,2.3k
1598,Lionbridge Technologies,3.5,(692),"Promotions, Skill Development, Salary",7,3.8k
1599,HCL Healthcare,4.6,(691),"Company Culture, Work Life Balance, Skill Development",10,1k
1600,Doosan Power Systems,4.3,(691),"Company Culture, Work Life Balance, Work Satisfaction",--,2.5k
1601,R.S. Infraprojects,4.0,(691),"Job Security, Work Life Balance, Work Satisfaction",3,1.7k
1602,Testbook.com,3.3,(692),"Job Security, Promotions, Work Life Balance",1,4.5k
1603,Cohesity,3.9,(691),"Work Life Balance, Company Culture, Salary",25,5.2k
1604,Orient Cement,4.4,(691),"Company Culture, Work Life Balance, Work Satisfaction",6,2.4k
1605,CJ Darcl Logistics Limited,4.0,(690),"Company Culture, Work Life Balance, Job Security",1,2k
1606,Neeyamo Enterprise Solutions,3.5,(689),Job Security,6,4.1k
1607,Welspun World,3.7,(689),"Promotions, Job Security",100,2.6k
1608,Wissen Infotech,3.5,(689),"Job Security, Promotions, Work Satisfaction",43,5k
1609,MPS Limited,3.5,(690),"Promotions, Salary, Skill Development",16,3k
1610,Kurlon,4.3,(688),"Work Life Balance, Company Culture, Work Satisfaction",8,2.1k
1611,Vasudha Pharma Chem,4.0,(688),"Company Culture, Work Life Balance, Job Security",18,2.3k
1612,Wissen Technology,3.8,(688),Skill Development,87,5.5k
1613,Bayer Crop Science Vegetable Seeds,4.2,(688),"Company Culture, Work Life Balance, Skill Development",--,1k
1614,Solv,3.4,(687),Salary,--,1.8k
1615,Livpure,3.8,(688),Promotions,20,2.3k
1616,Corteva Agriscience,4.3,(687),"Company Culture, Work Life Balance, Work Satisfaction",6,2.7k
1617,PCBL Chemical Limited,3.9,(686),Salary,--,2.7k
1618,Embibe,3.4,(685),"Job Security, Promotions, Company Culture",--,2.6k
1619,Grihum Housing Finance,3.7,(683),Salary,41,2.2k
1620,Dhanuka Agritech,3.6,(684),"Promotions, Work Satisfaction",2,1.9k
1621,Redington,4.1,(683),"Job Security, Company Culture, Work Life Balance",--,3.1k
1622,CSC,3.6,(683),"Work Life Balance, Job Security",51,4.7k
1623,Impetus Technologies,3.2,(683),"Work Satisfaction, Promotions, Company Culture",70,6.5k
1624,Office Beacon,4.5,(682),"Job Security, Company Culture, Work Life Balance",1,894
1625,Toppr,3.4,(682),"Job Security, Promotions, Work Life Balance",--,3k
1626,ANAROCK Property Consultants,3.5,(682),"Promotions, Work Satisfaction, Job Security",81,3.2k
1627,Narayana e-Techno School,3.6,(682),"Promotions, Company Culture, Work Life Balance",--,2.1k
1628,EPL Limited,3.8,(681),"Job Security, Skill Development",5,1.8k
1629,JoulestoWatts Business Solutions,3.4,(681),"Promotions, Job Security, Company Culture",--,3.4k
1630,SMC Global Securities,3.5,(681),"Promotions, Skill Development, Salary",10,2.6k
1631,Saint Gobain Glass,3.9,(679),"Job Security, Company Culture, Skill Development",--,2.1k
1632,Housing.com,3.5,(679),Salary,82,3k
1633,Quess IT Staffing Solutions,3.2,(678),"Promotions, Skill Development, Company Culture",--,1.5k
1634,Osource Global,3.5,(678),"Promotions, Salary, Company Culture",35,2.8k
1635,Ingram Micro,3.6,(677),"Promotions, Work Satisfaction, Skill Development",--,3.4k
1636,InternEzy,4.9,(676),"Company Culture, Work Life Balance, Work Satisfaction",4,5
1637,Krsnaa Diagnostics,3.5,(675),"Promotions, Salary, Company Culture",37,1.7k
1638,Optimum Infosystem,3.2,(674),"Job Security, Promotions, Skill Development",90,3.6k
1639,My Home Industries,4.1,(675),"Work Life Balance, Company Culture, Job Security",9,2.3k
1640,Nihilent,3.2,(673),"Promotions, Job Security, Company Culture",31,4.9k
1641,DAV Public School,3.9,(673),"Skill Development, Salary",--,1.2k
1642,Indorama,3.9,(673),"Job Security, Work Life Balance",12,2.3k
1643,Snapdeal,3.5,(673),"Promotions, Job Security, Salary",39,2.8k
1644,Surin Automotive,3.8,(674),"Salary, Job Security, Skill Development",--,2k
1645,TCI Express,3.9,(672),"Job Security, Work Life Balance, Skill Development",2,1.9k
1646,Government of India,4.2,(672),"Job Security, Work Life Balance, Work Satisfaction",--,3.9k
1647,Licious,3.5,(672),"Promotions, Job Security, Work Satisfaction",15,3.1k
1648,Belstar Microfinance,3.9,(672),"Company Culture, Work Life Balance, Work Satisfaction",--,1.6k
1649,DeHaat,3.6,(672),"Job Security, Promotions, Company Culture",5,2.1k
1650,Sintex BAPL,3.6,(672),Salary,3,2.4k
1651,Sigma Engineered Solutions,3.9,(670),"Company Culture, Skill Development, Work Life Balance",--,2.6k
1652,TDS Lithium-Ion Battery,4.2,(670),"Company Culture, Work Life Balance, Skill Development",--,2.3k
1653,Careon Healthcare Solutions,3.9,(670),"Company Culture, Work Life Balance, Job Security",--,3.1k
1654,NextComm Corporation,4.8,(669),"Work Life Balance, Company Culture, Work Satisfaction",--,39
1655,Centaur Pharmaceuticals,3.5,(668),"Promotions, Company Culture, Work Satisfaction",3,2.9k
1656,Quality Austria Central Asia,3.5,(668),"Promotions, Salary, Work Life Balance",14,1.9k
1657,Carrier,3.7,(667),Work Life Balance,5,4.8k
1658,Future Supply Chain Solutions,4.4,(666),"Company Culture, Work Satisfaction, Skill Development",--,2.1k
1659,Omaxe,4.2,(666),"Work Life Balance, Salary, Company Culture",6,2.2k
1660,Tata Power Delhi Distribution,3.8,(666),"Job Security, Work Life Balance",3,2.9k
1661,Corporate Infotech,3.7,(665),"Promotions, Salary, Job Security",3,2.4k
1662,PeopleStrong,3.3,(666),"Promotions, Work Satisfaction, Work Life Balance",1,3.3k
1663,BankBazaar,3.2,(665),"Promotions, Work Satisfaction, Skill Development",17,2.9k
1664,Finova Capital,3.8,(665),Salary,24,1.6k
1665,MAQ Software,3.0,(665),"Company Culture, Work Life Balance, Work Satisfaction",3,4.1k
1666,Marlabs,3.5,(663),"Job Security, Promotions, Skill Development",7,5.1k
1667,Kutumbh Care,3.9,(663),"Work Life Balance, Work Satisfaction, Salary",--,1.6k
1668,Epicenter Technologies,3.4,(663),"Promotions, Salary, Work Satisfaction",6,2.2k
1669,National Stock Exchange of India,3.5,(663),Job Security,--,4.6k
1670,Suroj Buildcon,4.0,(662),"Job Security, Company Culture, Skill Development",10,1.7k
1671,Collegedunia,3.2,(661),"Job Security, Promotions, Company Culture",14,3.3k
1672,NiCE,3.6,(662),"Promotions, Work Satisfaction, Job Security",65,4.7k
1673,Times Group,3.7,(662),Work Life Balance,11,4.7k
1674,Inspirisys Solution,3.7,(661),"Promotions, Salary, Skill Development",52,3.8k
1675,L&T Power,4.0,(660),"Job Security, Skill Development",--,3.3k
1676,Celebi Aviation Holding,4.0,(660),"Job Security, Skill Development, Company Culture",--,1.1k
1677,Anudip Foundation,4.1,(660),"Work Life Balance, Salary, Company Culture",15,1.3k
1678,Yatra,3.3,(660),"Promotions, Skill Development, Company Culture",3,3.1k
1679,Chaitanya India Fin Credit,4.1,(661),"Company Culture, Skill Development, Work Life Balance",--,1.6k
1680,Healthians,4.0,(660),"Skill Development, Company Culture, Work Life Balance",--,2k
1681,RealPage,3.5,(659),"Promotions, Job Security, Work Satisfaction",4,4.2k
1682,Qatar Airways,3.4,(659),Salary,5,2.1k
1683,Hetero Healthcare,3.5,(658),"Promotions, Salary, Work Satisfaction",10,2.3k
1684,Vikram Solar,3.6,(656),"Promotions, Company Culture, Work Satisfaction",8,2.4k
1685,SOLAR INDUSTRIES INDIA,3.7,(657),Job Security,19,3.2k
1686,FCC Clutch,3.9,(656),"Work Life Balance, Job Security",3,2.3k
1687,Cogoport,3.2,(656),"Job Security, Company Culture, Work Satisfaction",--,1.9k
1688,Fiat India Automobiles,3.5,(655),"Promotions, Company Culture, Work Life Balance",9,2.3k
1689,Pennar Industries,3.5,(656),"Promotions, Salary, Company Culture",4,3.1k
1690,3M,4.0,(655),"Company Culture, Work Life Balance, Salary",132,3.3k
1691,Ramboll,3.9,(655),"Company Culture, Work Life Balance, Job Security",139,3.3k
1692,TIAA Global Business Services,3.7,(655),"Work Life Balance, Salary",9,5k
1693,Zaalima Development,4.3,(659),"Work Life Balance, Company Culture, Work Satisfaction",--,18
1694,Gainwell Commosales,4.0,(654),"Job Security, Company Culture, Skill Development",6,2.4k
1695,Kaizen IT Services,3.8,(655),Work Life Balance,--,1.3k
1696,Forbes Marshall,3.9,(653),"Job Security, Company Culture, Skill Development",44,2.8k
1697,AML RightSource,2.5,(653),"Company Culture, Job Security, Promotions",25,3.8k
1698,Alshaya Group,3.7,(652),"Promotions, Skill Development, Company Culture",2,2.3k
1699,Monte Carlo,4.2,(653),"Salary, Work Life Balance, Company Culture",7,2.5k
1700,Me n Moms,4.1,(652),"Skill Development, Salary, Company Culture",6,1.1k
1701,Myk Laticrete,3.8,(652),Salary,36,2.3k
1702,ICA Edu Skills,3.8,(652),"Work Life Balance, Skill Development",21,1.4k
1703,Avaada Group,4.3,(651),"Job Security, Work Life Balance, Salary",73,2.4k
1704,GKN,3.9,(650),Work Life Balance,38,2.4k
1705,Danfoss Industries,3.8,(650),"Work Life Balance, Company Culture",8,3.5k
1706,Airports Authority of India,4.3,(650),"Work Life Balance, Company Culture, Work Satisfaction",--,1.8k
1707,Kiya.ai,4.0,(649),"Work Life Balance, Work Satisfaction, Job Security",176,4.3k
1708,Geojit Financial Services,3.4,(649),"Promotions, Work Satisfaction, Salary",4,2.2k
1709,Talentpro,3.8,(649),Promotions,27,2.4k
1710,Uno Mindarika,4.0,(648),"Job Security, Skill Development",--,2k
1711,South Indian Bank,3.3,(648),"Salary, Job Security",--,3.2k
1712,ACKO,3.3,(648),"Promotions, Job Security, Skill Development",15,3.2k
1713,Motilal Oswal Wealth Management,4.4,(647),"Skill Development, Company Culture, Work Satisfaction",--,448
1714,Philips Innovation Campus,3.7,(647),Work Life Balance,--,4.6k
1715,NoBrokerHood,2.7,(647),"Job Security, Work Satisfaction, Promotions",2,2.1k
1716,Ferrero,3.9,(648),"Salary, Skill Development",16,2.1k
1717,Blackrock,3.5,(647),"Promotions, Work Satisfaction, Skill Development",--,7.8k
1718,TVS Eurogrip,3.6,(647),"Promotions, Job Security, Company Culture",14,2.1k
1719,Ebixcash Global Services,3.2,(646),"Promotions, Salary, Job Security",30,2.2k
1720,Videocon d2h,3.8,(646),"Skill Development, Company Culture, Work Life Balance",--,1.2k
1721,The Lalit,3.3,(646),"Promotions, Salary, Company Culture",10,1.6k
1722,B.L. Kashyap & Sons,3.7,(645),Job Security,8,1.7k
1723,Avalon Technologies,3.8,(645),"Job Security, Skill Development",13,3.5k
1724,Global Healthcare Billing Partners,3.3,(645),"Company Culture, Promotions, Work Satisfaction",72,3.8k
1725,Sir H. N. Reliance Foundation Hospital and Research,4.3,(645),"Job Security, Skill Development, Salary",20,1.2k
1726,Varthana,4.0,(644),"Company Culture, Work Life Balance, Salary",10,1.4k
1727,Varun Motors,3.7,(646),Job Security,1,2.2k
1728,Sapphire Foods India,3.8,(643),"Company Culture, Skill Development",20,2.1k
1729,NRB Bearings,4.0,(643),"Work Life Balance, Job Security, Skill Development",48,2.1k
1730,UKB Electronics Limited,3.5,(644),"Job Security, Company Culture, Work Satisfaction",27,2.3k
1731,Sandvik Asia,4.1,(643),"Company Culture, Work Life Balance, Job Security",--,1.6k
1732,InsuranceDekho,3.5,(643),"Promotions, Job Security, Work Life Balance",40,2.3k
1733,Electrotherm,4.2,(643),"Job Security, Work Life Balance, Company Culture",17,2.9k
1734,ExportersIndia,4.9,(642),"Company Culture, Work Life Balance, Work Satisfaction",--,130
1735,Vyapar,3.6,(642),"Job Security, Promotions, Work Life Balance",123,2.5k
1736,Emids Technologies Limited,3.6,(641),"Job Security, Promotions, Work Satisfaction",17,5.1k
1737,Manjushree Technopack,3.5,(641),"Promotions, Company Culture, Work Satisfaction",15,2.8k
1738,Khazana Jewellery,3.9,(641),"Skill Development, Salary",12,1.8k
1739,Maharashtra Seamless,3.5,(640),Job Security,3,2.3k
1740,NetConnectGlobal,3.1,(640),"Promotions, Job Security, Skill Development",181,2.7k
1741,Mount Litera Zee School,3.7,(640),"Promotions, Job Security, Salary",4,1.5k
1742,IDBI Intech Limited,3.2,(639),"Promotions, Salary, Company Culture",7,3.1k
1743,Tecnimont,3.8,(639),"Job Security, Salary",76,2.9k
1744,Data Entry,4.2,(639),"Company Culture, Work Life Balance, Work Satisfaction",--,1.9k
1745,Reliance Jewels,3.9,(639),"Job Security, Skill Development, Company Culture",--,1.3k
1746,Serum Institute of India,4.2,(640),"Job Security, Salary, Work Life Balance",4,3.4k
1747,Schwing Stetter,3.8,(639),Job Security,95,2.7k
1748,Continental,3.7,(638),Work Life Balance,91,3.7k
1749,Suraksha Diagnostic,3.7,(638),"Promotions, Work Satisfaction, Salary",31,1.6k
1750,Hamilton Housewares,3.8,(638),"Work Life Balance, Salary",88,2.8k
1751,Sasken,3.6,(638),"Promotions, Job Security, Work Satisfaction",36,4.4k
1752,Central Reserve Police Force,4.6,(638),"Job Security, Salary, Company Culture",--,1.3k
